timestamp,gas,brake,speedKmh,rpms,gear
2024-02-17 17:56:21.125873,0.0,0.0,124.35528564453125,4155,5
2024-02-17 17:56:21.327645,0.0,0.0,121.04296875,4041,5
2024-02-17 17:56:21.529750,0.0,0.0,117.84150695800781,3936,5
2024-02-17 17:56:21.731707,0.0,0.0,115.06420135498047,3839,5
2024-02-17 17:56:21.934617,0.0,0.17224478721618652,99.54861450195312,3138,5
2024-02-17 17:56:22.136942,0.0,0.0,26.518539428710938,2887,5
2024-02-17 17:56:22.339156,0.0,0.0,24.8327693939209,2256,5
2024-02-17 17:56:22.541729,0.0,0.0,18.07823944091797,1464,5
2024-02-17 17:56:22.746394,0.0,0.0,18.56214714050293,1458,5
2024-02-17 17:56:22.949926,0.0,0.0,17.951879501342773,1454,5
2024-02-17 17:56:23.151840,0.0,0.0,17.454975128173828,1451,5
2024-02-17 17:56:23.354374,0.0,0.0,17.007568359375,1448,5
2024-02-17 17:56:23.557422,0.0,0.0,16.58385467529297,1446,5
2024-02-17 17:56:23.759642,0.0,0.0,16.19280433654785,1445,5
2024-02-17 17:56:23.961554,0.0,0.0,15.82224178314209,1444,5
2024-02-17 17:56:24.164352,0.0,0.0,15.458702087402344,1443,5
2024-02-17 17:56:24.366532,0.0,0.0,15.137182235717773,1442,1
2024-02-17 17:56:24.568092,0.0,0.0,14.993173599243164,1441,1
2024-02-17 17:56:24.770604,0.0,0.0,14.816411972045898,1440,3
2024-02-17 17:56:24.972560,0.0,0.0,14.637250900268555,1440,3
2024-02-17 17:56:25.175068,0.0,0.0,14.458991050720215,1440,1
2024-02-17 17:56:25.376783,0.0,0.0,14.263840675354004,1442,2
2024-02-17 17:56:25.579214,0.0,0.0,14.053915023803711,1442,2
2024-02-17 17:56:25.780949,0.0,0.0,13.884669303894043,1441,2
2024-02-17 17:56:25.983183,0.0,0.0,13.721234321594238,1441,2
2024-02-17 17:56:26.184747,0.0,0.0,13.500555038452148,1440,2
2024-02-17 17:56:26.386581,0.0,0.0,13.340496063232422,1440,1
2024-02-17 17:56:26.589197,0.0,0.0,13.179957389831543,1440,1
2024-02-17 17:56:26.790905,0.0,0.0,13.005745887756348,1440,1
2024-02-17 17:56:26.993577,0.0,0.0,12.883845329284668,2479,0
2024-02-17 17:56:27.196737,0.0,0.0,13.830018043518066,1565,0
2024-02-17 17:56:27.399832,0.0,0.0,13.716811180114746,1536,0
2024-02-17 17:56:27.601699,0.0,0.0,13.495331764221191,1514,0
2024-02-17 17:56:27.803858,0.0,0.0,13.343505859375,1498,0
2024-02-17 17:56:28.006074,0.6499999761581421,0.0,14.531445503234863,1953,0
2024-02-17 17:56:28.209495,0.0,0.0,17.69451332092285,2089,0
2024-02-17 17:56:28.411756,0.0,0.0,17.552003860473633,1922,0
2024-02-17 17:56:28.614870,0.6499999761581421,0.0,18.914260864257812,2585,0
2024-02-17 17:56:28.817016,0.6499999761581421,0.0,21.83020782470703,3475,0
2024-02-17 17:56:29.019274,0.6499999761581421,0.0,24.57929801940918,4636,0
2024-02-17 17:56:29.222031,0.6499999761581421,0.0,27.519058227539062,5765,0
2024-02-17 17:56:29.424291,0.6499999761581421,0.0,30.804733276367188,7124,0
2024-02-17 17:56:29.625875,0.6499999761581421,0.0,34.24439239501953,7899,0
2024-02-17 17:56:29.827869,0.0,0.0,37.960933685302734,5626,0
2024-02-17 17:56:30.030069,0.0,0.0,38.6015510559082,4272,0
2024-02-17 17:56:30.232437,0.6240001320838928,0.0,38.59523391723633,4557,0
2024-02-17 17:56:30.435240,0.6499999761581421,0.0,41.97308349609375,5456,0
2024-02-17 17:56:30.637069,0.6499999761581421,0.0,45.49351501464844,6438,0
2024-02-17 17:56:30.839684,0.6499999761581421,0.0,48.909366607666016,7610,0
2024-02-17 17:56:31.041995,0.6499999761581421,0.0,52.472843170166016,8005,0
2024-02-17 17:56:31.244320,0.6499999761581421,0.0,53.57453155517578,5826,0
2024-02-17 17:56:31.446087,0.0,0.0,10.66507339477539,4524,0
2024-02-17 17:56:31.648380,0.0,0.0,7.951808929443359,2394,0
2024-02-17 17:56:31.850849,0.6499999761581421,0.0,4.831202507019043,1847,0
2024-02-17 17:56:32.053389,0.6499999761581421,0.0,1.710284948348999,2063,0
2024-02-17 17:56:32.255018,0.0,0.0,0.05496348813176155,1559,0
2024-02-17 17:56:32.457906,0.0,0.0,0.049250006675720215,1530,0
2024-02-17 17:56:32.661024,0.0,0.0,0.01026484090834856,1510,0
2024-02-17 17:56:32.864065,0.0,0.0,0.01191130094230175,1494,0
2024-02-17 17:56:33.066209,0.0,0.0,0.004259041976183653,1482,0
2024-02-17 17:56:33.268310,0.0,0.0,0.00820831023156643,1472,1
2024-02-17 17:56:33.470813,0.0,0.0,0.007710007950663567,1465,2
2024-02-17 17:56:33.673853,0.0,0.0,0.003935924731194973,1459,2
2024-02-17 17:56:33.876133,0.0,0.0,0.003073769621551037,1455,2
2024-02-17 17:56:34.078427,0.15600000321865082,0.0,0.017045803368091583,1492,2
2024-02-17 17:56:34.281350,0.9600008130073547,0.0,1.5328640937805176,1964,2
2024-02-17 17:56:34.483830,0.6860000491142273,0.0,4.6795973777771,1893,2
2024-02-17 17:56:34.685894,0.6499999761581421,0.0,7.529587268829346,1889,2
2024-02-17 17:56:34.887876,0.8919997811317444,0.0,10.583037376403809,1975,2
2024-02-17 17:56:35.089974,1.0,0.0,13.949687004089355,1990,2
2024-02-17 17:56:35.291890,1.0,0.0,17.73246955871582,1996,2
2024-02-17 17:56:35.494892,1.0,0.0,21.857177734375,2023,2
2024-02-17 17:56:35.697883,1.0,0.0,25.839744567871094,2154,2
2024-02-17 17:56:35.900583,0.0,0.0,29.12982177734375,2110,2
2024-02-17 17:56:36.102956,0.0,0.0,28.40022850036621,2177,2
2024-02-17 17:56:36.305377,0.0,0.0,27.684663772583008,2049,2
2024-02-17 17:56:36.507302,0.0,0.0,26.836374282836914,2072,2
2024-02-17 17:56:36.709310,0.0,0.0,26.19074821472168,2038,2
2024-02-17 17:56:36.912371,0.0,0.0,25.65472984313965,1948,2
2024-02-17 17:56:37.115331,0.49199986457824707,0.0,25.44158935546875,2059,2
2024-02-17 17:56:37.317869,0.9980006814002991,0.0,27.62590980529785,2535,2
2024-02-17 17:56:37.519874,0.6499999761581421,0.0,29.689298629760742,2410,2
2024-02-17 17:56:37.722363,0.6499999761581421,0.0,30.74034309387207,2548,2
2024-02-17 17:56:37.925292,0.6499999761581421,0.0,31.989665985107422,2571,2
2024-02-17 17:56:38.128025,0.8300003409385681,0.0,32.87910461425781,2726,2
2024-02-17 17:56:38.331243,0.7340001463890076,0.0,34.143592834472656,2805,2
2024-02-17 17:56:38.534397,1.0,0.0,36.1350212097168,3008,2
2024-02-17 17:56:38.736852,1.0,0.0,38.359249114990234,3237,2
2024-02-17 17:56:38.938548,0.9519999027252197,0.0,40.21625900268555,3343,2
2024-02-17 17:56:39.140103,1.0,0.0,40.947940826416016,3441,2
2024-02-17 17:56:39.342920,0.9879999756813049,0.0,43.23516845703125,3554,2
2024-02-17 17:56:39.544624,1.0,0.0,44.47579574584961,3695,2
2024-02-17 17:56:39.746828,0.9039998054504395,0.0,44.76150131225586,3560,2
2024-02-17 17:56:39.948829,0.9639999270439148,0.0,44.30313491821289,3622,2
2024-02-17 17:56:40.151212,0.9879999756813049,0.0,43.84086990356445,3666,2
2024-02-17 17:56:40.352924,1.0,0.0,41.536170959472656,2642,3
2024-02-17 17:56:40.555173,0.0,0.0,40.150150299072266,2365,3
2024-02-17 17:56:40.756815,0.0,0.0,37.32052230834961,2188,3
2024-02-17 17:56:40.958737,0.09600000828504562,0.0,34.623779296875,2028,3
2024-02-17 17:56:41.161380,0.9120007157325745,0.0,33.421661376953125,2038,3
2024-02-17 17:56:41.363859,1.0,0.0,34.302581787109375,2094,3
2024-02-17 17:56:41.565885,1.0,0.0,35.23902893066406,2136,3
