# Name: yara piñeito
# Car: asdfadsfa
# Map: dfasdfdsaf
timestamp,speedKmh,rpms,gear,fuel,brake,gas,tyreWear,suspensionTravel,steerAngle,pitch,roll
2024-05-30 18:52:59.337935,51.282711029052734,4189,2,29.857011795043945,0.0,0.6000000834465027,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,0.8999999761581421,-0.004193482454866171,-0.01147560402750969
2024-05-30 18:52:59.738807,54.726600646972656,4339,2,29.852684020996094,0.0,0.9639999270439148,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608151AAD0>,0.08729943633079529,-0.0062559559009969234,-0.017726656049489975
2024-05-30 18:53:00.139040,63.08966827392578,5054,2,29.8448429107666,0.0,0.9879999756813049,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,0.3756999373435974,-0.0033605601638555527,-0.015767207369208336
2024-05-30 18:53:00.539913,67.5260238647461,5435,2,29.838470458984375,0.0,0.7479994893074036,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608151AAD0>,0.7758459448814392,-0.007620428688824177,-0.014646555297076702
2024-05-30 18:53:00.940785,70.41199493408203,5853,2,29.83253288269043,0.0,0.6499999761581421,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,0.2788832187652588,-0.0062827132642269135,-0.017275560647249222
2024-05-30 18:53:01.341679,73.41983795166016,6083,2,29.826383590698242,0.0,0.6499999761581421,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608151B3D0>,0.6695560216903687,-0.008612311445176601,-0.018399037420749664
2024-05-30 18:53:01.742458,74.55093383789062,4722,3,29.82191276550293,0.0,0.7580001950263977,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608151AB50>,0.8999999761581421,-0.006897711660712957,-0.0223747119307518
2024-05-30 18:53:02.142855,78.00174713134766,4925,3,29.81461524963379,0.0,0.9020004868507385,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,<commons.utils.c_float_Array_4 object at 0x000002608151B8D0>,0.8999999761581421,-0.0005131708458065987,-0.02129308134317398
2024-05-30 18:53:02.543220,80.51146697998047,5021,3,29.807727813720703,0.0,0.6499999761581421,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,0.8999999761581421,0.0034462660551071167,-0.014230376109480858
2024-05-30 18:53:02.944092,83.11736297607422,5168,3,29.80078887939453,0.0,0.7100000977516174,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,<commons.utils.c_float_Array_4 object at 0x000002608151B350>,0.445992648601532,0.0036536515690386295,-0.005304215010255575
2024-05-30 18:53:03.345150,79.55575561523438,4455,3,29.799015045166016,0.5035842657089233,0.0,<commons.utils.c_float_Array_4 object at 0x000002608151B150>,<commons.utils.c_float_Array_4 object at 0x00000260815760D0>,0.6946699023246765,-0.0022155563347041607,0.0003031094674952328
2024-05-30 18:53:03.746055,66.50171661376953,3806,3,29.799015045166016,0.5631834864616394,0.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,0.17415110766887665,-0.00873528327792883,0.0007041651988402009
2024-05-30 18:53:04.147009,53.98355484008789,3142,3,29.799015045166016,0.15541189908981323,0.0,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608151BED0>,0.5888427495956421,-0.002610310912132263,-0.0010936527978628874
2024-05-30 18:53:04.547904,50.61801528930664,2962,3,29.79900360107422,0.0,0.12000001221895218,<commons.utils.c_float_Array_4 object at 0x000002608140ABD0>,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,0.8999999761581421,0.006073092110455036,0.019134607166051865
2024-05-30 18:53:04.948790,51.531761169433594,3221,3,29.79632568359375,0.0,0.6499999761581421,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608151B250>,0.049499429762363434,-0.015762027353048325,-0.006585081573575735
2024-05-30 18:53:05.349227,55.78872299194336,3562,3,29.791790008544922,0.0,0.9140005111694336,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608151AC50>,0.0,0.0074918875470757484,-0.005407709628343582
2024-05-30 18:53:05.750103,60.982154846191406,3786,3,29.786569595336914,0.0,0.8660004138946533,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608151BED0>,0.0,0.005079993512481451,-0.00394795136526227
2024-05-30 18:53:06.151021,66.20376586914062,4228,3,29.78072166442871,0.0,0.6499999761581421,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608151B3D0>,0.25404489040374756,-0.01686420850455761,-0.009450215846300125
2024-05-30 18:53:06.551897,69.2655029296875,4319,3,29.775840759277344,0.0,0.6499999761581421,<commons.utils.c_float_Array_4 object at 0x000002608140ACD0>,<commons.utils.c_float_Array_4 object at 0x000002608151BED0>,-0.0798976793885231,0.002782142721116543,0.0021921161096543074
2024-05-30 18:53:06.952798,69.14707946777344,4065,3,29.774063110351562,0.0,0.0,<commons.utils.c_float_Array_4 object at 0x000002608145C250>,<commons.utils.c_float_Array_4 object at 0x000002608151A850>,-0.47486698627471924,0.005677661392837763,-0.008733808994293213
